0,"Q: How do you get the code for the bank vault?
A: You checkout their branch."
1,"Q: How did the developer announce their engagement?
A: They returned true!"
2,"Q: Why did the security conscious engineer refuse to pay their dinner bill?
A: Because they could not verify the checksum."
3,"Q: What do you call a busy waiter?
A: A server."
4,"Q: What do you call an idle server?
A: A waiter."
5,"[Please Enter New Password]

fortnight

[Error: Password is Two Week]"
6,"Q: How many Prolog programmers does it take to change a lightbulb?
A: Yes."
7,"I've been hearing news about this big boolean.
Huge if true."
8,"Q: What diet did the ghost developer go on?
A: Boolean"
9,"Q: Why was the developer unhappy at their job?
A: They wanted arrays."
10,"Q: Why did 10 get paid less than ""10""?
A: There was workplace inequality."
11,"Q: Why was the function sad after a successful first call?
A: It didn't get a callback."
12,"Q: Why did the angry function exceed the callstack size?
A: It got into an Argument with itself"
13,"Q: Whats the object-oriented way to become wealthy?
A: Inheritance"
14,"Q: Why did the developer ground their kid?
A: They weren't telling the truthy"
15,"Q: What did the array say after it was extended?
A: Stop objectifying me."
16,"!false
It's funny 'cause it's true."
17,"Q: Where did the parallel function wash its hands?
A: Async"
18,"Q: I'm starting a band called HTML Encoder
A: Looking to buy a guitar &amp;"
19,"Q: Why did the functions stop calling each other?
A: Because they had constant arguments."
20,"Q: What's the second movie about a database engineer called?
A: The SQL."
21,"Q: Why doesn't Hollywood make more Big Data movies?
A: NoSQL."
22,"A programmer's significant other tells them, ""Run to the store and pick up a loaf of bread. If they have eggs, get a dozen.""
The programmer comes home with 12 loaves of bread."
23,"Q: What did the spider do on the computer?
A: Made a website!"
24,"Q: What did the computer do at lunchtime?
A: Had a byte!"
25,"Q: What does a baby computer call his father?
A: Data!"
26,"Q: Why did the computer keep sneezing?
A: It had a virus!"
27,"Q: What is a computer virus?
A: A terminal illness!"
28,"Q: Why was the computer freezing?
A: It left its Windows open!"
29,"Q: Why was there a bug in the computer?
A: Because it was looking for a byte to eat?"
30,"Q: Why did the computer squeak?
A: Because someone stepped on its mouse!"
31,"Q: What do you get when you cross a computer and a life guard?
A: A screensaver!"
32,"Q: Where do all the cool mice live?
A: In their mousepads!"
33,"Q: What do you get when you cross a computer with an elephant?
A: Lots of memory!"
34,"Java truly is an OOP language...
As in: OOPs I used Java!"
35,"Q: How do programming pirates pass method parameters?
A: Varrrrarrrgs."
36,"Q: How do programming shepherds count their flock?
A: With lambda functions"
37,"Q: What airline do developers prefer when they're in a rush?
A: Delta."
38,"Q: How did pirates collaborate before computers ?
A: Pier to pier networking."
39,"Q: Why don't bachelors like Git?
A: Because they are afraid to commit."
40,"Q: A SQL query goes into a bar, walks up to two tables and asks:
A: Can I JOIN you?"
41,"Q: How does a developer make a cheer?
A: [""hip"",""hip""] // (hip hip array!)"
42,"Q: Why was the developer's family upset with them at dinner?
A: They forgot to git squash before going home"
43,"Q: What did JavaScript call his son?
A: JSON!"
44,"Q: What did the proud React component say to its child?
A: I've got to give you props"
45,"Q: What did the server say to his client who was having a bad day?
A: Everything's going to be 200"
46,"Q: Why did the developer go broke?
A: Because they used up all their cache"
47,"Q: Are computers dangerous?
A: Nah, they don't byte. They just nibble a bit."
48,"Q: How did the mafioso kill the Node server?
A: Tie await to it and let it async."
49,"Q: You know what the best thing about booleans is?
A: Even if you are wrong, you are only off by a bit."
50,"Q: Why couldn't the user update a file on a shared server?
A: They didn't have the write permissions"
51,"Q: What do you do when you can't understand your husband's behavior?
A: man man"
52,"Q: How many developers does it take to change a light bulb?
A: None. It's a hardware issue"
53,"Q: Why do programmers always mix up Halloween and Christmas?
A: Because 31 OCT == 25 DEC"
54,"Q: Why do kayakers make bad programmers?
A: Because they're afraid of waterfall."
55,"Q: What are computers' favorite snacks?
A: Microchips, phish sticks, and cookies. But just a few bytes of each."
56,"Q: What do computers love to do at the beach?
A: Put on some spam block for protection so they can safely surf the net while catching some .WAVs!"
57,"Q: What do you call a computer that sings?
A: A-dell."
